        46       561 1.06400+2 1.20200+1 46-Pd-Nat
 Mev       F1-Total  Z+F1      F1-Ionize F1-Excite F2-Total  F2-Ionize F2-Excite Coherent (barns)
 6.06670-6-4.69775+1-9.77453-1-4.60795+1-8.97979-1 5.66916-7 0.0       5.66916-7 4.12902-1
 6.06984-6-4.69556+1-9.55619-1-4.60811+1-8.74561-1 6.40766-7 0.0       6.40766-7 4.17634-1
 6.08471-6-4.68360+1-8.36009-1-4.60885+1-7.47467-1 1.16354-6 0.0       1.16354-6 4.56640-1
 6.09214-6-4.67616+1-7.61573-1-4.60923+1-6.69289-1 1.55686-6 0.0       1.55686-6 4.91729-1
 6.09958-6-4.66691+1-6.69137-1-4.60960+1-5.73111-1 1.95115-6 0.0       1.95115-6 5.41825-1
 6.10364-6-4.65980+1-5.97986-1-4.60981+1-4.99917-1 2.24005-6 0.0       2.24005-6 5.76843-1
 6.10926-6-4.65026+1-5.02568-1-4.61009+1-4.01668-1 5.20560-2 0.0       5.20560-2 6.35755-1
 6.12613-6-4.62835+1-2.83499-1-4.61094+1-1.74106-1 2.08792-1 0.0       2.08792-1 8.99661-1
 6.13368-6-4.61696+1-1.69614-1-4.61132+1-5.64201-2 2.77977-1 0.0       2.77977-1 1.06719+0
 6.14871-6-4.59320+1 6.79548-2-4.61208+1 1.88711-1 5.07746-1 0.0       5.07746-1 1.50242+0
 6.16373-6-4.57160+1 2.84038-1-4.61283+1 4.12357-1 8.56126-1 0.0       8.56126-1 2.07259+0
 6.17875-6-4.55774+1 4.22613-1-4.61359+1 5.58494-1 1.33255+0 0.0       1.33255+0 2.75466+0
 6.18498-6-4.55565+1 4.43469-1-4.61390+1 5.82484-1 1.57987+0 0.0       1.57987+0 3.05901+0
 6.19431-6-4.56057+1 3.94321-1-4.61437+1 5.38034-1 1.95177+0 0.0       1.95177+0 3.52503+0
 6.20365-6-4.57281+1 2.71902-1-4.61484+1 4.20315-1 2.32479+0 0.0       2.32479+0 3.98552+0
 6.21374-6-4.59393+1 6.06536-2-4.61535+1 2.14144-1 2.71635+0 0.0       2.71635+0 4.45318+0
 6.21878-6-4.60806+1-8.05687-2-4.61560+1 7.54612-2 2.91261+0 0.0       2.91261+0 4.66735+0
 6.22382-6-4.62666+1-2.66602-1-4.61586+1-1.08033-1 3.10918+0 0.0       3.10918+0 4.86419+0
 6.23509-6-4.67340+1-7.33959-1-4.61642+1-5.69718-1 3.41265+0 0.0       3.41265+0 5.22690+0
 6.23885-6-4.69267+1-9.26691-1-4.61661+1-7.60559-1 3.51405+0 0.0       3.51405+0 5.32057+0
 6.24309-6-4.71495+1-1.14950+0-4.61683+1-9.81235-1 3.55694+0 0.0       3.55694+0 5.40827+0
 6.24848-6-4.69208+1-9.20813-1-4.61710+1-7.49833-1 3.61156+0 0.0       3.61156+0 5.49086+0
 6.25252-6-4.67141+1-7.14112-1-4.61730+1-5.41097-1 3.65258+0 0.0       3.65258+0 5.53084+0
 6.25387-6-4.66304+1-6.30440-1-4.61737+1-4.56746-1 3.66626+0 0.0       3.66626+0 5.53991+0
 6.26889-6-4.58631+1 1.36911-1-4.61813+1 3.18168-1 3.53097+0 0.0       3.53097+0 5.49703+0
 6.27265-6-4.56722+1 3.27828-1-4.61831+1 5.10975-1 3.43320+0 0.0       3.43320+0 5.44604+0
 6.28392-6-4.52077+1 7.92291-1-4.61888+1 9.81110-1 3.13919+0 0.0       3.13919+0 5.20473+0
 6.28987-6-4.49948+1 1.00521+0-4.61918+1 1.19702+0 2.90802+0 0.0       2.90802+0 5.02927+0
 6.29879-6-4.47758+1 1.22423+0-4.61963+1 1.42053+0 2.56043+0 0.0       2.56043+0 4.71451+0
 6.30772-6-4.46272+1 1.37276+0-4.62008+1 1.57356+0 2.21185+0 0.0       2.21185+0 4.35118+0
 6.31835-6-4.45324+1 1.46764+0-4.62062+1 1.67379+0 1.78911+0 0.0       1.78911+0 3.87653+0
 6.32899-6-4.45460+1 1.45399+0-4.62115+1 1.66549+0 1.36494+0 0.0       1.36494+0 3.38111+0
 6.34401-6-4.46986+1 1.30138+0-4.62191+1 1.52045+0 8.81159-1 0.0       8.81159-1 2.69074+0
 6.35903-6-4.49354+1 1.06459+0-4.62266+1 1.29122+0 5.25108-1 0.0       5.25108-1 2.05762+0
 6.37406-6-4.51986+1 8.01397-1-4.62342+1 1.03559+0 2.88866-1 0.0       2.88866-1 1.51533+0
