        64       825 1.57250+2 7.90040+0 64-Gd-Nat
 Mev       F1-Total  Z+F1      F1-Ionize F1-Excite F2-Total  F2-Ionize F2-Excite Coherent (barns)
 2.80522-6-6.06464+1 3.35356+0-5.00950+1-1.05514+1 3.64149+0 0.0       3.64149+0 1.87902+1
 2.80858-6-6.08512+1 3.14883+0-5.00953+1-1.07558+1 3.39177+0 0.0       3.39177+0 1.78082+1
 2.81361-6-6.10223+1 2.97769+0-5.00958+1-1.09265+1 3.01606+0 0.0       3.01606+0 1.64203+1
 2.81864-6-6.10550+1 2.94505+0-5.00963+1-1.09586+1 2.63899+0 0.0       2.63899+0 1.51736+1
 2.82534-6-6.09306+1 3.06944+0-5.00970+1-1.08335+1 2.25593+0 0.0       2.25593+0 1.37709+1
 2.83205-6-6.07090+1 3.29102+0-5.00977+1-1.06113+1 2.05829+0 0.0       2.05829+0 1.26641+1
 2.83876-6-6.05029+1 3.49713+0-5.00984+1-1.04045+1 2.04588+0 0.0       2.04588+0 1.18051+1
 2.84546-6-6.03948+1 3.60524+0-5.00990+1-1.02957+1 2.16041+0 0.0       2.16041+0 1.11186+1
 2.84880-6-6.04090+1 3.59096+0-5.00994+1-1.03097+1 2.26147+0 0.0       2.26147+0 1.08171+1
 2.85567-6-6.05607+1 3.43930+0-5.01001+1-1.04606+1 2.35961+0 0.0       2.35961+0 1.02376+1
 2.85888-6-6.06330+1 3.36702+0-5.01004+1-1.05326+1 2.32758+0 0.0       2.32758+0 9.97751+0
 2.86255-6-6.07344+1 3.26559+0-5.01008+1-1.06337+1 2.38044+0 0.0       2.38044+0 9.68354+0
 2.86943-6-6.10114+1 2.98855+0-5.01014+1-1.09100+1 2.29260+0 0.0       2.29260+0 9.15146+0
 2.87630-6-6.12562+1 2.74375+0-5.01021+1-1.11541+1 2.03822+0 0.0       2.03822+0 8.67255+0
 2.88318-6-6.13936+1 2.60638+0-5.01028+1-1.12908+1 1.67275+0 0.0       1.67275+0 8.29925+0
 2.89006-6-6.13948+1 2.60518+0-5.01035+1-1.12913+1 1.26725+0 0.0       1.26725+0 8.08839+0
 2.89693-6-6.12694+1 2.73062+0-5.01042+1-1.11652+1 8.86234-1 0.0       8.86234-1 8.08597+0
 2.90381-6-6.10515+1 2.94851+0-5.01049+1-1.09466+1 5.72122-1 0.0       5.72122-1 8.31749+0
