        89       916 2.27000+2 1.00700+1 89-Ac-Nat
 Mev       F1-Total  Z+F1      F1-Ionize F1-Excite F2-Total  F2-Ionize F2-Excite Coherent (barns)
 2.42817-6-8.74055+1 1.59451+0-6.98013+1-1.76042+1 1.91865+0 0.0       1.91865+0 1.11358+1
 2.43393-6-8.71422+1 1.85775+0-6.98024+1-1.73398+1 1.23862+0 0.0       1.23862+0 9.63023+0
 2.43970-6-8.67562+1 2.24378+0-6.98035+1-1.69528+1 7.38127-1 0.0       7.38127-1 8.80742+0
 2.44546-6-8.63312+1 2.66876+0-6.98045+1-1.65267+1 4.06050-1 0.0       4.06050-1 8.62337+0
 2.45122-6-8.59405+1 3.05949+0-6.98056+1-1.61349+1 2.06196-1 0.0       2.06196-1 8.99011+0
 2.45699-6-8.55287+1 3.47127+0-6.98067+1-1.57221+1 0.0       0.0       0.0       9.79880+0
 2.46635-6-8.49454+1 4.05463+0-6.98084+1-1.51370+1 0.0       0.0       0.0       1.17751+1
 2.53189-6-8.22806+1 6.71945+0-6.98205+1-1.24600+1 0.0       0.0       0.0       3.31448+1
 2.53812-6-8.19939+1 7.00614+0-6.98217+1-1.21722+1 2.03573-7 0.0       2.03573-7 3.61725+1
 2.54435-6-8.16872+1 7.31284+0-6.98229+1-1.18643+1 4.02814-7 0.0       4.02814-7 3.95923+1
 2.55059-6-8.13540+1 7.64601+0-6.98240+1-1.15300+1 7.35773-7 0.0       7.35773-7 4.34490+1
 2.55682-6-8.09824+1 8.01760+0-6.98252+1-1.11572+1 1.24061-6 0.0       1.24061-6 4.77623+1
 2.56179-6-8.06276+1 8.37241+0-6.98261+1-1.08015+1 1.79163-6 0.0       1.79163-6 5.15257+1
 2.57441-6-7.96765+1 9.32353+0-6.98284+1-9.84805+0 2.27333-1 0.0       2.27333-1 6.21024+1
 2.58071-6-7.91490+1 9.85096+0-6.98296+1-9.31945+0 4.15241-1 0.0       4.15241-1 6.77292+1
 2.58702-6-7.86115+1 1.03885+1-6.98308+1-8.78076+0 7.00151-1 0.0       7.00151-1 7.33831+1
 2.59332-6-7.81001+1 1.08999+1-6.98319+1-8.26813+0 1.09125+0 0.0       1.09125+0 7.89238+1
 2.60566-6-7.74260+1 1.15740+1-6.98342+1-7.59175+0 2.09904+0 0.0       2.09904+0 8.92620+1
 2.61291-6-7.72631+1 1.17369+1-6.98356+1-7.42751+0 2.66585+0 0.0       2.66585+0 9.53838+1
 2.61914-6-7.72527+1 1.17473+1-6.98367+1-7.41596+0 3.03005+0 0.0       3.03005+0 1.01339+2
 2.62537-6-7.72869+1 1.17131+1-6.98379+1-7.44906+0 3.20918+0 0.0       3.20918+0 1.08809+2
 2.63160-6-7.72711+1 1.17289+1-6.98390+1-7.43208+0 3.17583+0 0.0       3.17583+0 1.19014+2
 2.63783-6-7.71090+1 1.18910+1-6.98402+1-7.26878+0 2.94756+0 0.0       2.94756+0 1.33586+2
 2.64685-6-7.64165+1 1.25835+1-6.98418+1-6.57463+0 2.38084+0 0.0       2.38084+0 1.66669+2
 2.65329-6-7.55528+1 1.34472+1-6.98430+1-5.70972+0 1.93121+0 0.0       1.93121+0 2.02692+2
 2.66310-6-7.34888+1 1.55112+1-6.98449+1-3.64397+0 1.26270+0 0.0       1.26270+0 2.85320+2
 2.66948-6-7.15106+1 1.74894+1-6.98460+1-1.66453+0 9.13380-1 0.0       9.13380-1 3.61402+2
 2.67263-6-7.02340+1 1.87660+1-6.98466+1-3.87406-1 7.75922-1 0.0       7.75922-1 4.06316+2
 2.67578-6-6.84411+1 2.05589+1-6.98472+1 1.40615+0 6.38138-1 0.0       6.38138-1 4.56366+2
 2.68895-6-6.15821+1 2.74179+1-6.98496+1 8.26754+0 4.59599+0 0.0       4.59599+0 7.21258+2
 2.69554-6-5.77666+1 3.12334+1-6.98509+1 1.20842+1 8.14107+0 0.0       8.14107+0 8.82601+2
 2.70212-6-5.43313+1 3.46687+1-6.98521+1 1.55208+1 1.35778+1 0.0       1.35778+1 1.05508+3
 2.70871-6-5.21318+1 3.68682+1-6.98533+1 1.77215+1 2.10531+1 0.0       2.10531+1 1.22870+3
 2.71167-6-5.18126+1 3.71874+1-6.98538+1 1.80413+1 2.52836+1 0.0       2.52836+1 1.30382+3
 2.71610-6-5.27954+1 3.62046+1-6.98547+1 1.70593+1 3.16466+1 0.0       3.16466+1 1.40961+3
 2.72054-6-5.51526+1 3.38474+1-6.98556+1 1.47030+1 3.80302+1 0.0       3.80302+1 1.50344+3
 2.72450-6-5.83986+1 3.06014+1-6.98564+1 1.14579+1 4.35186+1 0.0       4.35186+1 1.57394+3
 2.72649-6-6.04808+1 2.85192+1-6.98569+1 9.37609+0 4.62688+1 0.0       4.62688+1 1.60364+3
 2.72847-6-6.31600+1 2.58400+1-6.98573+1 6.69730+0 4.90229+1 0.0       4.90229+1 1.62927+3
 2.73341-6-7.05568+1 1.84432+1-6.98584+1-6.98393-1 5.38078+1 0.0       5.38078+1 1.67396+3
 2.73670-6-7.67698+1 1.22302+1-6.98591+1-6.91073+0 5.60055+1 0.0       5.60055+1 1.68756+3
 2.74041-6-8.33478+1 5.65222+0-6.98599+1-1.34879+1 5.73558+1 0.0       5.73558+1 1.68678+3
 2.74102-6-8.45643+1 4.43572+0-6.98600+1-1.47042+1 5.75811+1 0.0       5.75811+1 1.68498+3
 2.74205-6-8.69380+1 2.06197+0-6.98603+1-1.70778+1 5.76736+1 0.0       5.76736+1 1.68095+3
 2.74823-6-8.07836+1 8.21641+0-6.98616+1-1.09220+1 5.56734+1 0.0       5.56734+1 1.62991+3
